"name","description","price"
"Spicy Mixed Olives","Spicy mixed olives co-starring mushrooms, garlic and redpepper.…","£3.75"
"PERi-PERi Nuts","Crunchy almonds, cashews and macadamia nuts in a fieryPERi-PERi seasoning. …","£3.75"
"Halloumi Sticks & Dip","Five chunky sticks of grilled halloumi with chilli jam fordipping.…","£4.25"
"Dare to share!","Choose any three starters and get sharing.…","£9.95"
"Chicken Butterfly","Two chicken breasts, flame-grilled with crispy skin. Infusedwith PERi-PERi and served in your choice of spice. …","£8.25"
"1/2 Chicken","One breast and one leg, flame-grilled and infused withPERi-PERi. Served on the bone with crispy skin, in your ……","£7.95"
"4 Boneless Chicken Thighs","Flame-grilled with crispy skin. Infused with PERi-PERi andserved in your choice of spice. …","£8.25"
"Whole Chicken","Flame-grilled, infused with PERi-PERi and served in yourchoice of spice. Cut into quarters and perfect with sides,……","£14.50"
"1/4 Chicken","Flame-grilled, infused with PERi-PERi and perfect forpairing with sides. Served on the bone with crispy skin, i……","£4.25"
"3 Chicken Wings","Flame-grilled, infused with PERi-PERi and perfect forpairing with sides. Served in your choice of spice.…","£3.95"
"5 Chicken Wings","Flame-grilled, infused with PERi-PERi and perfect forpairing with sides. Served in your choice of spice.…","£5.95"
"10 Chicken Wings","Flame-grilled with crispy skin and great for sharing! …","£10.95"
"15 Chicken Wings","Bigger is always better. A feast that’s great for sharing! …","£13.95"
"10 wing roulette","Think you can handle the heat? Take on our challenge -10 wings in various heats. (it's not for the faint-hearted!).…","£10.95"
"Boneless Platter","A Chicken Butterfly and 4 Boneless Chicken Thighs,served with either 2 large or 4 regular sides. A perfect m……","£24.25"
"Wing Platter","10 Chicken Wings with either 2 large or 4 regular sides.Great for two people.…","£18.95"
"Full Platter","A Whole Chicken with 2 large or 4 regular sides. Great fortwo people.…","£22.75"
"Family Platter","2 Whole Chickens and 5 large sides. Perfect for 4-6people.…","£46.50"
"Sunset Burger","Two chicken thighs, melting cheddar cheese, smoky redpepper chutney, lettuce and Lemon & Herb mayo in a b……","£8.25"
"Grilled Chicken Burger","Chicken breast infused with PERi-PERi and grilled in yourfavourite spice. Served in a Portuguese roll with Lemon ……","£6.95"
"Grilled Chicken Wrap","Chicken breast infused with PERi-PERi and grilled to yourfavourite spice. Served in a wrap with lettuce, lightly spic……","£6.95"
"Double Chicken Burger","Two chicken breasts infused with PERi-PERi and grilled inyour favourite spice. Served in a Portuguese roll with Le……","£10.25"
"Double Chicken Wrap","Two chicken breasts infused with PERi-PERi and grilled toyour favourite spice. Served in a wrap with lettuce, lightl……","£10.25"
"The Great Imitator Burger","Our PERi-Plant strips are made from pea-protein but tastejust like our famous PERi-PERi chicken. Served in a Por……","£6.95"
"The Great Imitator Wrap","Our PERi-Plant strips are made from pea-protein but tastejust like our famous PERi-PERi chicken. Served with pla……","£6.95"
"Grilled Chicken Burger","Chicken breast infused with PERi-PERi. Served in abrioche bun with Lemon & Herb mayo, lettuce, tomato a……","£5.95"
"3 Chicken Wings","Flame-grilled, infused with PERi-PERi and perfect forpairing with sides. Served in your choice of spice.…","£5.95"
"Chicken Breast Fillet","Strips of chicken breast grilled to your favourite spiciness.…","£5.95"
"Chilli Jam","Sweet and sticky with just a hint of spice. Great fordunking!…","£0.65"
