item_id,item_name,temp_id
59,spicy mixed olives,1
60,peri-peri nuts,2
61,halloumi sticks & dip,3
62,chicken butterfly,4
63,1/2 chicken,5
64,4 boneless chicken thighs,6
65,whole chicken,7
66,1/4 chicken,8
67,3 chicken wings,9
68,5 chicken wings,10
69,10 chicken wings,11
70,15 chicken wings,12
71,10 wing roulette,13
72,sunset burger,14
73,grilled chicken burger,15
74,grilled chicken wrap,16
75,double chicken burger,17
76,double chicken wrap,18
77,the great imitator burger,19
78,the great imitator wrap,20
79,peri-salted chips,21
80,chips,22
81,garlic bread,23
82,coleslaw,24
83,spicy rice,25
84,corn on the cob,26
85,mixed leaf salad,27
86,rainbow slaw,28
87,gooey caramel cheesecake,29
88,salted caramel brownie,30
