"item_id_r","item_name","description","price","category","vegan","section_id_sql"
1,"dough balls 'pizzaexpress' (v)","no one does garlic butter like we do. freshly made dailywith creamy butter and whole crushed garlic...",3.95,"sides","vegetarian",20
2,"halloumi bites (v) (gf)","crispy coated halloumi with italian tomato dip and parsley...",4.65,"sides","vegetarian",20
3,"dough balls doppio (v)","double helpings with garlic butter, basil & pine kernelpesto and smoky tomato harissa...",8.35,"sides","vegetarian",20
4,"calamari","lightly crumbed calamari with caesar dressing, lemon andparsley...",6.45,"sides","non-veg",20
5,"lemon & herb chicken wings (gf)","new recipe house dressing dip and parsley...",6.3,"sides","non-veg",20
6,"bruschetta originale 'pizzaexpress' (v)","freshly-baked dough topped with our signature garlicbutter, fresh tomatoes, red onion and basil & pine kerne......",5.5,"sides","vegetarian",20
7,"buffalo mozzarella & tomato salad (v) (gf)","beautifully soft luxurious buffalo milk mozzarella with freshtomatoes and basil & pine kernel pesto...",4.95,"sides","vegetarian",20
8,"garlic bread with mozzarella (v)","for dough lovers, a perfect prelude to the main course;smothered with garlic butter and melted mozzarella...",4.95,"sides","vegetarian",20
9,"polenta chips (v)","rosemary polenta chips with gran milano cheese, andhoney & mustard dip...",4.15,"sides","vegetarian",20
10,"vegan dough balls 'pizzaexpress' (v) (ve)","a pizzaexpress classic, served with smoky tomato harissa...",3.95,"sides","vegan",20
11,"mixed salad (v) (ve) (gf)","mixed leaves, rocket, tomatoes and cucumber with newrecipe house dressing...",3.9,"sides","vegan",20
12,"marinated olives (v) (ve) (gf)","with pink peppercorns and whole sweet garlic cloves...",2.5,"sides","vegan",20
13,"roasted tomatoes (v) (ve) (gf)","marinated in garlic and oregano and packed with flavour...",2.5,"sides","vegan",20
14,"margherita (v)","the hero here is our passata, lovingly made by the grecifamily, with 100% italian tomatoes from parma since '87,......",8.95,"mains","vegetarian",21
15,"american","on the menu since day one with only the best pepperoni,with mozzarella and tomato...",9.45,"mains","non-veg",21
