item_id,item_name
119,"dough balls 'pizzaexpress' (v)"
120,"halloumi bites (v) (gf)"
121,"dough balls doppio (v)"
122,calamari
123,"lemon & herb chicken wings (gf)"
124,"bruschetta originale 'pizzaexpress' (v)"
125,"buffalo mozzarella & tomato salad (v) (gf)"
126,"garlic bread with mozzarella (v)"
127,"polenta chips (v)"
128,"vegan dough balls 'pizzaexpress' (v) (ve)"
129,"mixed salad (v) (ve) (gf)"
130,"marinated olives (v) (ve) (gf)"
131,"roasted tomatoes (v) (ve) (gf)"
132,"margherita (v)"
133,american
134,"bbq burnt ends"
135,etna
136,"pollo forza"
137,diavolo
138,"sloppy giuseppe"
139,"vegan giardiniera (v) (ve)"
140,"american hot"
141,"pollo ad astra"
142,"la reine"
143,"quattro formaggi piccante (v)"
144,"fiorentina (v)"
145,"veneziana (v)"
146,porchetta
147,"padana natale (v)"
148,"mushroom & truffle (v)"
149,"vegan mushroom & pine nut (v) (ve)"
150,"pollo pesto (gf)"
151,"bolognese (gf)"
152,"melanzane (v) (gf)"
153,"lasagna classica"
154,"cannelloni (v)"
155,"calzone 'nduja"
156,"calzone verdure (v) (ve)"
157,"vegan nourish bowl (v) (ve)"
158,"nicoise (gf)"
159,"pollo & grain"
160,"caprese & prosciutto (gf)"
161,"grand chicken caesar"
162,"vegan diavolo (v) (ve)"
163,"vegan forza (v) (ve)"
164,"vegan melanzane (v) (ve) (gf)"
165,"sloppy vegan (v) (ve)"
166,"vegan american hot (v) (ve)"
167,"vegan ad astra (v) (ve)"
168,"vegan veneziana (v) (ve)"
169,"vegan american jack (v) (ve)"
170,"vegan margherita (v) (ve)"
171,"vegan padana natale (v) (ve)"
172,"chocolate brownie (v) (gf)"
173,"red berry & vanilla cheesecake (v)"
174,"orange & carrot cake (v) (ve) (gf)"
175,"tiramisu (v)"
176,"chocolate fudge cake (v)"
177,"snowball dough balls (v)"
178,"snowball dough balls doppio (v)"
179,"vegan snowball dough balls (v) (ve)"
