"item_id","protein"
1,"soya"
2,"squid"
3,"prawn"
8,"squid"
9,"chicken"
10,"duck"
11,"unknown mock meat"
12,"beef"
14,"chicken"
15,"duck"
17,"pork"
18,"prawn"
19,"salmon"
20,"tofu"
21,"chicken"
23,"tofu"
23,"soya"
24,"chicken"
26,"tofu"
26,"soya"
27,"chicken"
28,"chicken"
29,"prawn"
30,"tofu"
31,"chicken"
32,"prawn"
33,"tofu"
34,"chicken"
34,"prawn"
38,"chicken"
38,"prawn"
39,"tofu"
40,"tofu"
41,"chicken"
41,"prawn"
42,"steak"
43,"salmon"
44,"chicken"
45,"chicken"
46,"chicken"
47,"beef"
48,"tofu"
49,"cod"
50,"chicken"
50,"steak"
51,"chicken"
51,"pork"
52,"chicken"
53,"beef"
54,"duck"
55,"seitan"
57,"chicken"
