"name","description","price"
"wagamama rookie bundle","chicken katsu + chilli squid + regular positive juice…","£21.00"
"feed your soul (vg) <U+0001F331> bundle","kare burosu ramen + mushroom hirata buns + regularpositive juice…","£21.00"
"true nourishment bundle","perfect for 2 people. shirodashi ramen + chilli chickenramen + beef hirata buns + chicken yakitori + 2x coke…","£39.00"
"bowls for souls bundle","perfect for 4 people. prawn firecracker + chicken katsu +beef donburi + pad thai + mushroom hirata buns + beef ……","£76.00"
"new! spicy teriyaki vegan ‘chicken’ buns (vg)","two fluffy asian buns filled with karikari vegan ‘chicken’.asian slaw. fried shallots. spicy teriyaki sauce…","£6.50"
"new! fried yasai gyoza (vegetable) (vg)","served with a dipping sauce…","£6.50"
"new! shu’s shiok jackfruit (vg)","turmeric + ginger jackfruit, roasted and served on a bed ofcoconut + lemongrass dressed rice. pickled slaw + radis……","£10.95"
"vegan sticky 'ribs' (vg)","mushroom + soya protein 'ribs'. sweet + spicy stickysauce. sesame seeds. spring onion…","£6.75"
"edamame with salt (vg)","beans with salt…","£4.50"
"edamame with chilli garlic salt (vg)","beans with chilli-garlic salt…","£4.50"
"bang bang cauliflower (vg)","crispy cauliflower. firecracker sauce. red + spring onion.fresh ginger. coriander…","£5.50"
"wok-fried greens (vg)","tenderstem broccoli. bok choi. garlic + soy sauce…","£4.75"
"mixed mushroom buns (vg)","two fluffy asian buns filled with panko aubergine. mixedmushrooms. vegan mayonnaise. coriander…","£6.50"
"tofu harusame salad (vg)","glass noodles. peashoots. edamame. adzuki beans. redradish. pickled asian slaw. tamari soy dressing. mint. slic……","£9.75"
"firecracker curry (tofu) (vg)","bold + fiery. tofu. hot red chillies. mangetout. red + greenpeppers. onion. sesame seeds. shichimi. fresh lime. whit……","£11.50"
"raisukaree curry (tofu) (vg)","mild + citrusy. tofu. coconut. mangetout. peppers. red +spring onion. sesame seeds. chilli. coriander. fresh lime.……","£11.95"
"vegatsu (katsu curry) (vg)","*refreshed recipe* tofu + soya protein in crispy pankobreadcrumbs. aromatic katsu curry sauce. sticky white ri……","£11.25"
"hot vegatsu (katsu curry) (vg)","*refreshed recipe* spicy! vegan katsu curry. tofu + soyaprotein in crispy panko breadcrumbs. spicy curry sauce.……","£11.50"
"katsu curry (yasai) - sweet potato, aubergine + butternut squash (vg)","vegetables coated in crispy panko breadcrumbs. aromatickatsu curry sauce. sticky white rice. side salad…","£10.25"
